sample_id,true_label,predicted_label,malware_probability,top_1_node,top_1_score,top_2_node,top_2_score,top_3_node,top_3_score,top_4_node,top_4_score,top_5_node,top_5_score,top_6_node,top_6_score,top_7_node,top_7_score,top_8_node,top_8_score,top_9_node,top_9_score,top_10_node,top_10_score,top_11_node,top_11_score,top_12_node,top_12_score,top_13_node,top_13_score,top_14_node,top_14_score,top_15_node,top_15_score,top_16_node,top_16_score,top_17_node,top_17_score,top_18_node,top_18_score,top_19_node,top_19_score,top_20_node,top_20_score,top_21_node,top_21_score,top_22_node,top_22_score
gen48_29f1166c-deb4-4cea-a975-fbc1cc193905_app-release,1,1,0.9988318085670471,yii.B: java.lang.String getIMEI(android.content.Context),0.36419037,yii.B: java.lang.String getIncomingSMS(android.content.Intent),0.26297662,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.11375554,android.telephony.SmsMessage: java.lang.String getDisplayMessageBody(),0.07459880411624908,android.telephony.TelephonyManager: java.lang.String getDeviceId(),0.0640905499458313,android.telephony.SmsMessage: java.lang.String getDisplayOriginatingAddress(),0.048081208020448685,android.telephony.SmsMessage: android.telephony.SmsMessage createFromPdu(byte[]),0.041430648416280746,yii.B$1: void run(),0.01728631556034088,java.net.URL: java.net.URLConnection openConnection(),0.00582082150503993,"x.Ae: void <init>(android.os.Handler,android.content.Context)",0.0047996761277318,android.database.ContentObserver: void <init>(android.os.Handler),0.0029693522956222296,,,,,,,,,,,,,,,,,,,,,,
gen53_e8f68fb1-78f8-41b0-9fec-abd35ae5dac9_app-release,1,1,0.9989345669746399,"gx.cv.DgTsQ: void sendTextMessage(java.lang.String,java.lang.String)",0.41088828,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.23808397,android.telephony.SmsManager: android.telephony.SmsManager getDefault(),0.103269204,"android.telephony.SmsManager: void sendTextMessage(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent)",0.07453809678554535,gx.cv.DgTsQ$1: void run(),0.05828942358493805,java.io.DataOutputStream: void writeUTF(java.lang.String),0.05469278246164322,gx.cv.DgTsQ: java.lang.String getSdk(),0.02567867375910282,android.os.Build$VERSION: void <clinit>(),0.018299365416169167,"hmoc.qeo.wtg.YApE: void <init>(android.os.Handler,android.content.Context)",0.01004545297473669,android.database.ContentObserver: void <init>(android.os.Handler),0.006214688066393137,,,,,,,,,,,,,,,,,,,,,,,,
gen5_b7f25989-2dc9-467e-9e09-8090af1cf799_app-release,1,1,0.9999841451644897,szh.qkw.rdt.xkxxl.KrBR: java.lang.String getIMSI(android.content.Context),0.5497305,"szh.qkw.rdt.xkxxl.KrBR: void sendDataMessage(java.lang.String,java.lang.String)",0.14731266,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.12557079,android.telephony.TelephonyManager: java.lang.String getSubscriberId(),0.08182194083929062,android.telephony.SmsManager: android.telephony.SmsManager getDefault(),0.051017191261053085,"android.telephony.SmsManager: void sendDataMessage(java.lang.String,java.lang.String,short,byte[],android.app.PendingIntent,android.app.PendingIntent)",0.03597097471356392,"mnanu.mnd.VUyi: void <init>(android.os.Handler,android.content.Context)",0.005298196338117123,android.database.ContentObserver: void <init>(android.os.Handler),0.0032777651213109493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen13_c519092c-d872-49e1-90df-69a94525b0c1_app-release,1,1,0.9985526204109192,xm.x.E: java.lang.String getIMSI(android.content.Context),0.30982882,xm.x.E: java.lang.String getIMEI(android.content.Context),0.22657749,xm.x.E: java.lang.String getIncomingSMS(android.content.Intent),0.16360827,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.07077189534902573,android.telephony.SmsMessage: java.lang.String getDisplayMessageBody(),0.04641093313694,android.telephony.TelephonyManager: java.lang.String getSubscriberId(),0.04611489921808243,android.telephony.TelephonyManager: java.lang.String getDeviceId(),0.039873313158750534,android.telephony.SmsMessage: java.lang.String getDisplayOriginatingAddress(),0.029913226142525673,android.telephony.SmsMessage: android.telephony.SmsMessage createFromPdu(byte[]),0.025775669142603874,x.D: void onCreate(android.os.Bundle),0.01630188338458538,xm.x.E$1: void run(),0.010754506103694439,"android.telephony.TelephonyManager: void listen(android.telephony.PhoneStateListener,int)",0.004501583520323038,java.net.URL: java.net.URLConnection openConnection(),0.003408947493880987,android.database.ContentObserver: void <init>(android.os.Handler),0.00179737014696002,android.telephony.PhoneStateListener: void <init>(),0.001787439570762217,qfke.b.IUpEq: void <init>(android.content.Context),0.0016241843113675714,"qzh.ykjd.spk.midy.XxuG: void <init>(android.os.Handler,android.content.Context)",0.0009495288250036538,,,,,,,,,,
gen20_04d5b547-29f8-4a9d-b231-9e4b82609198_app-release,1,1,0.9999576807022095,qmbp.uo.q.nbtn.Bt: java.lang.String getIMSI(android.content.Context),0.50603765,"qmbp.uo.q.nbtn.Bt: void sendTextMessage(java.lang.String,java.lang.String)",0.14116372,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.11559037,android.telephony.TelephonyManager: java.lang.String getSubscriberId(),0.07531869411468506,android.telephony.SmsManager: android.telephony.SmsManager getDefault(),0.04739127680659294,"android.telephony.SmsManager: void sendTextMessage(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent)",0.03636302053928375,qmbp.uo.q.nbtn.Bt$2: void run(),0.028299665078520775,java.io.DataOutputStream: void writeUTF(java.lang.String),0.026553481817245483,qmbp.uo.q.nbtn.Bt$1: void run(),0.017565138638019562,java.net.URL: java.net.URLConnection openConnection(),0.005717058666050434,,,,,,,,,,,,,,,,,,,,,,,,
gen14_19ab040d-1e89-4bcf-8fbb-80e08937e84f_app-release,1,1,0.9999648332595825,bl.YxdP: java.lang.String getPhoneNumber(android.content.Context),0.5803477,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.19062191,android.telephony.TelephonyManager: java.lang.String getLine1Number(),0.12555254,bl.YxdP$1: void run(),0.046669427305459976,java.io.DataOutputStream: void writeUTF(java.lang.String),0.04378977417945862,"uydrj.HxvC: void <init>(android.os.Handler,android.content.Context)",0.008042892441153526,android.database.ContentObserver: void <init>(android.os.Handler),0.004975790157914162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen34_4898f2ea-65f6-4cde-8051-5177e9841599_app-release,1,1,0.9999923706054688,jd.UFWOk: java.lang.String getIMSI(android.content.Context),0.56339383,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.1286918,"jd.UFWOk: void sendMultipartTextMessage(java.lang.String,java.lang.String)",0.11470066,android.telephony.TelephonyManager: java.lang.String getSubscriberId(),0.08385559171438217,android.telephony.SmsManager: android.telephony.SmsManager getDefault(),0.0529981292784214,"android.telephony.SmsManager: void sendMultipartTextMessage(java.lang.String,java.lang.String,java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)",0.021649785339832306,jd.UFWOk$1: void run(),0.019556036219000816,java.net.URL: java.net.URLConnection openConnection(),0.006365051493048668,"nhvjb.i.sz.ACyvd: void <init>(android.os.Handler,android.content.Context)",0.005429880693554878,android.database.ContentObserver: void <init>(android.os.Handler),0.003359232796356082,,,,,,,,,,,,,,,,,,,,,,,,
gen2_4a2f2985-176b-4aa3-a46f-d4bb82388781_app-release,1,1,0.9990255832672119,"xxv.oldf.wqbnf.spd.I: void sendTextMessage(java.lang.String,java.lang.String)",0.4632244,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.2684095,android.telephony.SmsManager: android.telephony.SmsManager getDefault(),0.11642294,"android.telephony.SmsManager: void sendTextMessage(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent)",0.08403225243091583,xxv.oldf.wqbnf.spd.I: java.lang.String getSdk(),0.028949448838829994,android.os.Build$VERSION: void <clinit>(),0.020630214363336563,"gible.ts.lihms.vvt.T: void <init>(android.os.Handler,android.content.Context)",0.011324974708259106,android.database.ContentObserver: void <init>(android.os.Handler),0.007006272207945585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen32_16df0812-efd9-4e0f-892d-bdba655f2c1f_app-release,1,1,0.995643138885498,lbtu.YAc: java.lang.String getIMEI(android.content.Context),0.2536255,dg.h.TZ: java.lang.String getIncomingSMS(android.content.Intent),0.18313925,"dg.h.TZ: void sendDataMessage(java.lang.String,java.lang.String)",0.10379187,"lbtu.YAc: void sendDataMessage(java.lang.String,java.lang.String)",0.10023782402276993,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.07922037690877914,android.telephony.SmsMessage: java.lang.String getDisplayMessageBody(),0.051951292902231216,android.telephony.TelephonyManager: java.lang.String getDeviceId(),0.04463331028819084,android.telephony.SmsManager: android.telephony.SmsManager getDefault(),0.03723476082086563,android.telephony.SmsMessage: java.lang.String getDisplayOriginatingAddress(),0.033484190702438354,android.telephony.SmsMessage: android.telephony.SmsMessage createFromPdu(byte[]),0.02885270118713379,drlf.VylHT: void onCreate(android.os.Bundle),0.02796867862343788,"android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",0.02031010203063488,"android.telephony.SmsManager: void sendDataMessage(java.lang.String,java.lang.String,short,byte[],android.app.PendingIntent,android.app.PendingIntent)",0.020065413787961006,"android.telephony.TelephonyManager: void listen(android.telephony.PhoneStateListener,int)",0.007289194036275148,ktpzp.tvff.ry.Dcz: void <init>(android.content.Context),0.002626453759148717,android.database.ContentObserver: void <init>(android.os.Handler),0.0020261267200112343,android.telephony.PhoneStateListener: void <init>(),0.002012884709984064,"wxwf.c.AYd: void <init>(android.os.Handler,android.content.Context)",0.0015300571685656905,,,,,,,,
gen12_102c650c-0be5-4fa6-93c8-10278529e087_app-release,1,1,0.9999516010284424,kg.ells.WHm: java.lang.String getIMEI(android.content.Context),0.4782701,dummyMainClass: void dummyMainMethod(java.lang.String[]),0.14938855,"kg.ells.WHm: void sendMultipartTextMessage(java.lang.String,java.lang.String)",0.14360379,android.telephony.TelephonyManager: java.lang.String getDeviceId(),0.08416640013456345,android.telephony.SmsManager: android.telephony.SmsManager getDefault(),0.062194276601076126,jj.APHo: void onCreate(android.os.Bundle),0.0344107523560524,"android.telephony.SmsManager: void sendMultipartTextMessage(java.lang.String,java.lang.String,java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)",0.025464320555329323,"android.telephony.TelephonyManager: void listen(android.telephony.PhoneStateListener,int)",0.009502138011157513,android.database.ContentObserver: void <init>(android.os.Handler),0.003793973010033369,android.telephony.PhoneStateListener: void <init>(),0.003773012664169073,ljre.ewn.ybg.jgusd.X: void <init>(android.content.Context),0.003428407246246934,"rwtnr.JRS: void <init>(android.os.Handler,android.content.Context)",0.0020043097902089357,,,,,,,,,,,,,,,,,,,,
